,State,RegisteredUsers,AppOpens,Year,Quarter
0,puducherry,49318,0,2018,1
1,tamil nadu,2104754,0,2018,1
2,uttar pradesh,4694250,0,2018,1
3,madhya pradesh,2553603,0,2018,1
4,andhra pradesh,3336450,0,2018,1
5,tripura,55157,0,2018,1
6,lakshadweep,501,0,2018,1
7,manipur,29925,0,2018,1
8,maharashtra,6106994,0,2018,1
9,dadra & nagar haveli & daman & diu,53258,0,2018,1
10,meghalaya,18513,0,2018,1
11,andaman & nicobar islands,6740,0,2018,1
12,haryana,1847357,0,2018,1
13,rajasthan,3158202,0,2018,1
14,ladakh,8784,0,2018,1
15,punjab,847142,0,2018,1
16,assam,385237,0,2018,1
17,jharkhand,885762,0,2018,1
18,odisha,1594015,0,2018,1
19,bihar,2133804,0,2018,1
20,kerala,784184,0,2018,1
21,karnataka,3717763,0,2018,1
22,chandigarh,86268,0,2018,1
23,telangana,3315560,0,2018,1
24,himachal pradesh,227373,0,2018,1
25,west bengal,2604789,0,2018,1
26,gujarat,2690048,0,2018,1
27,sikkim,20051,0,2018,1
28,nagaland,15074,0,2018,1
29,mizoram,7593,0,2018,1
30,chhattisgarh,679263,0,2018,1
31,jammu & kashmir,176425,0,2018,1
32,goa,91936,0,2018,1
33,arunachal pradesh,21495,0,2018,1
34,delhi,2087022,0,2018,1
35,uttarakhand,483043,0,2018,1
36,puducherry,65580,0,2018,2
37,tamil nadu,2996036,0,2018,2
38,uttar pradesh,6442554,0,2018,2
39,madhya pradesh,3441662,0,2018,2
40,andhra pradesh,4402540,0,2018,2
41,tripura,83369,0,2018,2
42,lakshadweep,686,0,2018,2
43,manipur,46055,0,2018,2
44,maharashtra,8222371,0,2018,2
45,dadra & nagar haveli & daman & diu,71458,0,2018,2
46,meghalaya,26618,0,2018,2
47,andaman & nicobar islands,9405,0,2018,2
48,haryana,2447221,0,2018,2
49,rajasthan,4212964,0,2018,2
50,ladakh,12918,0,2018,2
51,punjab,1152190,0,2018,2
52,assam,571046,0,2018,2
53,jharkhand,1230599,0,2018,2
54,odisha,2185781,0,2018,2
55,bihar,3005872,0,2018,2
56,kerala,1066587,0,2018,2
57,karnataka,5030665,0,2018,2
58,chandigarh,115219,0,2018,2
59,telangana,4260115,0,2018,2
60,himachal pradesh,315299,0,2018,2
61,west bengal,3833795,0,2018,2
62,gujarat,3565825,0,2018,2
63,sikkim,28097,0,2018,2
64,nagaland,22436,0,2018,2
65,mizoram,10422,0,2018,2
66,chhattisgarh,950675,0,2018,2
67,jammu & kashmir,261609,0,2018,2
68,goa,122174,0,2018,2
69,arunachal pradesh,32883,0,2018,2
70,delhi,2756141,0,2018,2
71,uttarakhand,649142,0,2018,2
72,puducherry,81546,0,2018,3
73,tamil nadu,3900177,0,2018,3
74,uttar pradesh,8096483,0,2018,3
75,madhya pradesh,4309309,0,2018,3
76,andhra pradesh,5427617,0,2018,3
77,tripura,116874,0,2018,3
78,lakshadweep,918,0,2018,3
79,manipur,61935,0,2018,3
80,maharashtra,10435033,0,2018,3
81,dadra & nagar haveli & daman & diu,92107,0,2018,3
82,meghalaya,37281,0,2018,3
83,andaman & nicobar islands,12149,0,2018,3
84,haryana,3020398,0,2018,3
85,rajasthan,5175453,0,2018,3
86,ladakh,17749,0,2018,3
87,punjab,1473148,0,2018,3
88,assam,784802,0,2018,3
89,jharkhand,1532362,0,2018,3
90,odisha,2795718,0,2018,3
91,bihar,3784535,0,2018,3
92,kerala,1347598,0,2018,3
93,karnataka,6372649,0,2018,3
94,chandigarh,143893,0,2018,3
95,telangana,5138501,0,2018,3
96,himachal pradesh,407634,0,2018,3
97,west bengal,4851740,0,2018,3
98,gujarat,4433183,0,2018,3
99,sikkim,37637,0,2018,3
100,nagaland,32090,0,2018,3
101,mizoram,14502,0,2018,3
102,chhattisgarh,1217792,0,2018,3
103,jammu & kashmir,342529,0,2018,3
104,goa,153802,0,2018,3
105,arunachal pradesh,45922,0,2018,3
106,delhi,3504911,0,2018,3
107,uttarakhand,810612,0,2018,3
108,puducherry,109494,0,2018,4
109,tamil nadu,5199878,0,2018,4
110,uttar pradesh,10341964,0,2018,4
111,madhya pradesh,5365442,0,2018,4
112,andhra pradesh,6857409,0,2018,4
113,tripura,153265,0,2018,4
114,lakshadweep,1156,0,2018,4
115,manipur,82589,0,2018,4
116,maharashtra,13381602,0,2018,4
117,dadra & nagar haveli & daman & diu,116511,0,2018,4
118,meghalaya,49634,0,2018,4
119,andaman & nicobar islands,15222,0,2018,4
120,haryana,3793079,0,2018,4
121,rajasthan,6358738,0,2018,4
122,ladakh,23883,0,2018,4
123,punjab,1865715,0,2018,4
124,assam,1039221,0,2018,4
125,jharkhand,1913949,0,2018,4
126,odisha,3623911,0,2018,4
127,bihar,4776665,0,2018,4
128,kerala,1757326,0,2018,4
129,karnataka,8315802,0,2018,4
130,chandigarh,177747,0,2018,4
131,telangana,6529679,0,2018,4
132,himachal pradesh,526343,0,2018,4
133,west bengal,6279278,0,2018,4
134,gujarat,5579040,0,2018,4
135,sikkim,48538,0,2018,4
136,nagaland,42997,0,2018,4
137,mizoram,19365,0,2018,4
138,chhattisgarh,1579998,0,2018,4
139,jammu & kashmir,436563,0,2018,4
140,goa,195350,0,2018,4
141,arunachal pradesh,61852,0,2018,4
142,delhi,4630313,0,2018,4
143,uttarakhand,1012103,0,2018,4
144,puducherry,133059,0,2019,1
145,tamil nadu,6296303,0,2019,1
146,uttar pradesh,12458661,0,2019,1
147,madhya pradesh,6414403,0,2019,1
148,andhra pradesh,8283019,0,2019,1
149,tripura,183254,0,2019,1
150,lakshadweep,1416,0,2019,1
151,manipur,99527,0,2019,1
152,maharashtra,16284451,0,2019,1
153,dadra & nagar haveli & daman & diu,140532,0,2019,1
154,meghalaya,61487,0,2019,1
155,andaman & nicobar islands,18596,0,2019,1
156,haryana,4538767,0,2019,1
157,rajasthan,7712204,0,2019,1
158,ladakh,29649,0,2019,1
159,punjab,2226590,0,2019,1
160,assam,1259085,0,2019,1
161,jharkhand,2279329,0,2019,1
162,odisha,4320744,0,2019,1
163,bihar,5745117,0,2019,1
164,kerala,2136624,0,2019,1
165,karnataka,10266174,0,2019,1
166,chandigarh,209175,0,2019,1
167,telangana,7963425,0,2019,1
168,himachal pradesh,653205,0,2019,1
169,west bengal,7449425,0,2019,1
170,gujarat,6652536,0,2019,1
171,sikkim,58956,0,2019,1
172,nagaland,53911,0,2019,1
173,mizoram,23670,0,2019,1
174,chhattisgarh,1908898,0,2019,1
175,jammu & kashmir,530669,0,2019,1
176,goa,238152,0,2019,1
177,arunachal pradesh,76957,0,2019,1
178,delhi,5499263,0,2019,1
179,uttarakhand,1224955,0,2019,1
180,puducherry,156458,661932,2019,2
181,tamil nadu,7429609,33658961,2019,2
182,uttar pradesh,14316349,78394040,2019,2
183,madhya pradesh,7301172,50642151,2019,2
184,andhra pradesh,9389003,81375251,2019,2
185,tripura,217644,953627,2019,2
186,lakshadweep,1747,4580,2019,2
187,manipur,117747,464829,2019,2
188,maharashtra,18776975,109967705,2019,2
189,dadra & nagar haveli & daman & diu,158580,860686,2019,2
190,meghalaya,74746,395764,2019,2
191,andaman & nicobar islands,21731,52640,2019,2
192,haryana,5178030,31929195,2019,2
193,rajasthan,8783935,62787336,2019,2
194,ladakh,35516,157317,2019,2
195,punjab,2600112,10928094,2019,2
196,assam,1500128,7350326,2019,2
197,jharkhand,2604854,14929066,2019,2
198,odisha,4845359,33955545,2019,2
199,bihar,6589759,39607022,2019,2
200,kerala,2550167,8673220,2019,2
201,karnataka,11968087,113024811,2019,2
202,chandigarh,240439,1220176,2019,2
203,telangana,9046007,80842302,2019,2
204,himachal pradesh,772603,3321711,2019,2
205,west bengal,8612795,49514201,2019,2
206,gujarat,7574645,34890301,2019,2
207,sikkim,70999,398520,2019,2
208,nagaland,66891,362497,2019,2
209,mizoram,28696,133025,2019,2
210,chhattisgarh,2191066,13206373,2019,2
211,jammu & kashmir,631193,2705373,2019,2
212,goa,278940,1352232,2019,2
213,arunachal pradesh,95885,502873,2019,2
214,delhi,6165448,43731570,2019,2
215,uttarakhand,1414339,7454279,2019,2
216,puducherry,177868,2476922,2019,3
217,tamil nadu,8428835,124690342,2019,3
218,uttar pradesh,16044607,268142606,2019,3
219,madhya pradesh,8180664,192353380,2019,3
220,andhra pradesh,10458693,310953542,2019,3
221,tripura,245456,3350991,2019,3
222,lakshadweep,2117,15038,2019,3
223,manipur,136316,1594205,2019,3
224,maharashtra,21313081,439998413,2019,3
225,dadra & nagar haveli & daman & diu,176929,3126189,2019,3
226,meghalaya,87395,1387814,2019,3
227,andaman & nicobar islands,23931,171107,2019,3
228,haryana,5783752,118332587,2019,3
229,rajasthan,9797304,238338999,2019,3
230,ladakh,39173,503126,2019,3
231,punjab,2962713,40860886,2019,3
232,assam,1731523,25393673,2019,3
233,jharkhand,2915511,55504460,2019,3
234,odisha,5387209,130181456,2019,3
235,bihar,7380265,126521298,2019,3
236,kerala,2990963,31471694,2019,3
237,karnataka,13635075,445683660,2019,3
238,chandigarh,267337,4625196,2019,3
239,telangana,10090557,318124511,2019,3
240,himachal pradesh,876184,10720741,2019,3
241,west bengal,9643222,176559011,2019,3
242,gujarat,8429299,129441484,2019,3
243,sikkim,82128,1316804,2019,3
244,nagaland,80077,1244022,2019,3
245,mizoram,34134,457834,2019,3
246,chhattisgarh,2435058,46362341,2019,3
247,jammu & kashmir,658455,3843919,2019,3
248,goa,317194,4753892,2019,3
249,arunachal pradesh,112149,1811700,2019,3
250,delhi,6782286,163381027,2019,3
251,uttarakhand,1585859,24660988,2019,3
252,puducherry,204292,3263122,2019,4
253,tamil nadu,9620493,155011717,2019,4
254,uttar pradesh,17949542,324068625,2019,4
255,madhya pradesh,9165241,237844976,2019,4
256,andhra pradesh,11757883,411201518,2019,4
257,tripura,272298,3610807,2019,4
258,lakshadweep,2427,17760,2019,4
259,manipur,155358,1855488,2019,4
260,maharashtra,23745297,543654112,2019,4
261,dadra & nagar haveli & daman & diu,197598,3770543,2019,4
262,meghalaya,100030,1490542,2019,4
263,andaman & nicobar islands,25960,177012,2019,4
264,haryana,6366679,136721888,2019,4
265,rajasthan,10925031,288904693,2019,4
266,ladakh,43108,470440,2019,4
267,punjab,3321742,47673880,2019,4
268,assam,1941220,26599449,2019,4
269,jharkhand,3281371,70181789,2019,4
270,odisha,6115537,189905719,2019,4
271,bihar,8342274,163998097,2019,4
272,kerala,3503938,40046033,2019,4
273,karnataka,15385416,569674870,2019,4
274,chandigarh,289590,4960441,2019,4
275,telangana,11220691,399239044,2019,4
276,himachal pradesh,985945,12637904,2019,4
277,west bengal,10885058,244326613,2019,4
278,gujarat,9323799,147973757,2019,4
279,sikkim,92972,1552004,2019,4
280,nagaland,93124,1454551,2019,4
281,mizoram,39809,529168,2019,4
282,chhattisgarh,2725900,57278977,2019,4
283,jammu & kashmir,673367,998572,2019,4
284,goa,353546,6290543,2019,4
285,arunachal pradesh,129321,2140340,2019,4
286,delhi,7289883,172682671,2019,4
287,uttarakhand,1752677,28853867,2019,4
288,puducherry,230908,3820943,2020,1
289,tamil nadu,10872368,179908753,2020,1
290,uttar pradesh,20136256,374282083,2020,1
291,madhya pradesh,10151371,262452480,2020,1
