,Brand,Count,Percentile,Year,Quarter
0,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Lenovo', 'Huawei', 'Others']","[11926334, 9609401, 5894293, 4479351, 2376866, 1825153, 1593250, 1536418, 1246507, 808774, 5581520]","[0.25441289809538475, 0.204988017052909, 0.1257372269092363, 0.09555364368434255, 0.05070337351313361, 0.03893421601285741, 0.033987254582210406, 0.03277491273227086, 0.026590522986039446, 0.01725279010668297, 0.1190651443249327]",2018,1
1,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Lenovo', 'Huawei', 'Others']","[16416511, 12943051, 8365074, 6246581, 3165738, 2326897, 2099718, 1890141, 1627153, 1104740, 7462707]","[0.25792532028069054, 0.2033526231355927, 0.13142648828497586, 0.09814213294678001, 0.04973797340828102, 0.03655866060609212, 0.03298937500478214, 0.029696640339757014, 0.025564747507596863, 0.017356941333447166, 0.11724909715200456]",2018,2
2,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Lenovo', 'Huawei', 'Others']","[20859459, 16228372, 11118842, 8103650, 3962596, 2774989, 2529272, 2231557, 1857680, 1444125, 8900410]","[0.2607075466368654, 0.20282688299971735, 0.13896650048608344, 0.10128175952712073, 0.04952566993578579, 0.034682614450081785, 0.03161157237574176, 0.027890644270799327, 0.023217821480239355, 0.018049091579362787, 0.11123989625820226]",2018,3
3,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Lenovo', 'Huawei', 'Others']","[26709586, 20740259, 14966905, 10754040, 4997725, 3435529, 3089947, 2668868, 2257295, 1899667, 10742234]","[0.2611876516661043, 0.2028148075060686, 0.14635834376690357, 0.10516158706178944, 0.04887174426526046, 0.03359534482267152, 0.030215968180964094, 0.026098321611080475, 0.022073632296945332, 0.01857646025204559, 0.10504613857016662]",2018,4
4,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Lenovo', 'Huawei', 'Others']","[32175910, 25070398, 18778714, 13426696, 5948556, 4005092, 3531217, 3042107, 2553783, 2364933, 12535293]","[0.26067573876837935, 0.20310985827183445, 0.15213727117803685, 0.10877746422769222, 0.04819270783344047, 0.03244757695851729, 0.028608440296683458, 0.02464587604942512, 0.02068967964477549, 0.019159696086690933, 0.10155569068452437]",2019,1
5,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Lenovo', 'Huawei', 'Others']","[36936092, 28857066, 22157338, 15797055, 6829373, 4511382, 3917097, 3331797, 2826639, 2738178, 13906209]","[0.26046508754717795, 0.20349359704986367, 0.15624860859623194, 0.11139731061863788, 0.04815921609512272, 0.031813260254733036, 0.02762249490378647, 0.02349508977003915, 0.019932828156245322, 0.019309020902637905, 0.09806348610552394]",2019,2
6,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Huawei', 'Lenovo', 'Others']","[41454122, 32271518, 25597791, 18090143, 7851606, 4969855, 4193041, 3607223, 3116564, 2892338, 15249733]","[0.26023666412808916, 0.2025910038733804, 0.16069532817238352, 0.11356454414642055, 0.049290050178558587, 0.03119927341363796, 0.026322665871256593, 0.022645074482246137, 0.019564863028619785, 0.018157238806092893, 0.09573329389931445]",2019,3
7,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Huawei', 'Lenovo', 'Others']","[46286972, 35921409, 29444698, 20682715, 9177720, 5361581, 4494286, 3833328, 3492460, 3062118, 16521798]","[0.25963209313083474, 0.2014897541122112, 0.16516069734147446, 0.11601313188252003, 0.051479510341888954, 0.030074088612245232, 0.02520927230471258, 0.02150183797499297, 0.01958984700869426, 0.01717598000909641, 0.09267378728132916]",2019,4
8,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Huawei', 'Lenovo', 'Others']","[51004503, 39560399, 33573609, 23375458, 10582375, 5755009, 4756036, 4027133, 3850925, 3276777, 17812940]","[0.2581524011793304, 0.20022961489228475, 0.1699282861281087, 0.11831172262116912, 0.05356126137392451, 0.02912820054650189, 0.02407203366917109, 0.020382789610135413, 0.019490936623997944, 0.01658496408991972, 0.09015778926545646]",2020,1
9,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'Huawei', 'OnePlus', 'Lenovo', 'Others']","[56202867, 43708551, 38093292, 26438928, 12034857, 6099798, 5066664, 4210805, 4176941, 3472895, 19490728]","[0.25663840132185595, 0.19958577295949706, 0.17394489074670594, 0.12072772398930565, 0.05495460686404392, 0.02785342618030953, 0.02313584018756552, 0.01922774266085176, 0.019073109929707222, 0.01585823407831965, 0.08900025108183779]",2020,2
10,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'Huawei', 'OnePlus', 'Lenovo', 'Others']","[61383234, 48012276, 43182078, 29530065, 13737667, 6523683, 5363550, 4565437, 4382412, 3679349, 20809932]","[0.2545230115014083, 0.19908089359639786, 0.179052679685282, 0.122445178982136, 0.05696266143037556, 0.02705017860806327, 0.02223973566362402, 0.01893039350223801, 0.018171487997519158, 0.015256266684233275, 0.08628751234872253]",2020,3
11,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'Huawei', 'OnePlus', 'Lenovo', 'Others']","[66711711, 52578970, 48210115, 32684041, 15590747, 7052763, 5650618, 4915828, 4621214, 3880170, 22375116]","[0.2524364649776773, 0.19895831061756677, 0.18242660582888207, 0.12367609296103152, 0.05899523487025131, 0.026687586532525877, 0.02138188350257173, 0.01860144529583847, 0.017486628787940276, 0.01468252550609044, 0.08466722111962421]",2020,4
12,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'Huawei', 'OnePlus', 'Lenovo', 'Others']","[71553154, 56154585, 53341749, 35512326, 17541519, 7576154, 5792974, 5145488, 4895538, 3907304, 23564639]","[0.2510765339828075, 0.19704370500625243, 0.18717360041880035, 0.12461102309686499, 0.06155233620188934, 0.026584355558106953, 0.020327263748185304, 0.018055266895574275, 0.017178204513823743, 0.0137105395177571, 0.08268717105993804]",2021,1
13,"['Xiaomi', 'Samsung', 'Vivo', 'Oppo', 'Realme', 'Apple', 'Motorola', 'OnePlus', 'Huawei', 'Lenovo', 'Others']","[75948492, 59144667, 58646521, 38402777, 20619455, 8143414, 5744294, 5365636, 5068955, 3768280, 24405595]","[0.2488009179222856, 0.193752990379426, 0.1921211056797362, 0.12580429073384153, 0.06754761280918206, 0.02667714427063531, 0.018817827482545377, 0.0175773754933391, 0.016605473310869152, 0.01234457062015386, 0.0799506912979858]",2021,2
14,"['Xiaomi', 'Vivo', 'Samsung', 'Oppo', 'Realme', 'Apple', 'OnePlus', 'Motorola', 'Huawei', 'Lenovo', 'Others']","[80749587, 65338474, 61299387, 42064749, 24185973, 8753177, 6266945, 5650891, 5126319, 3585329, 25334092]","[0.24592165776664782, 0.19898734394793893, 0.1866863649856104, 0.1281075630469533, 0.07365801852162271, 0.02665766945117494, 0.01908588713317388, 0.017209703903236437, 0.015612127734110446, 0.010919065769572762, 0.07715459773995835]",2021,3
15,"['Xiaomi', 'Vivo', 'Samsung', 'Oppo', 'Realme', 'Apple', 'OnePlus', 'Motorola', 'Huawei', 'Tecno', 'Others']","[84820436, 71483071, 63618499, 45569087, 28686022, 9883075, 7178086, 5648173, 4930699, 3799428, 25544819]","[0.2415425989522567, 0.20356187216991778, 0.18116598209777587, 0.12976678999694713, 0.08168899659371726, 0.02814396781855819, 0.020440988395093944, 0.016084265185243384, 0.014041119183958135, 0.01081960618136854, 0.07274381342516309]",2021,4
16,"['Xiaomi', 'Vivo', 'Samsung', 'Oppo', 'Realme', 'Apple', 'OnePlus', 'Motorola', 'Huawei', 'Tecno', 'Others']","[88426997, 77224616, 65886728, 49093857, 32685615, 10780434, 7974546, 5610140, 4882972, 4550078, 25835848]","[0.2371003160459078, 0.20706324404665546, 0.17666283558211032, 0.13163591895597906, 0.08764031245632897, 0.028905700693556857, 0.021382241182776228, 0.015042532396093801, 0.013092768540396307, 0.012200176059733569, 0.06927395404046159]",2022,1
17,,,,2022,2
18,,,,2022,3
19,,,,2022,4
