,EntityName,Count,Amount,Type,Year,Quartile
0,maharashtra,16387034,21711613257.725674,state,2018,1
1,uttar pradesh,12537805,13939970923.223106,state,2018,1
2,karnataka,12016899,19217895314.012802,state,2018,1
3,west bengal,11710225,10625978552.140453,state,2018,1
4,andhra pradesh,9039585,11996276391.823706,state,2018,1
5,telangana,8522766,13308204118.542435,state,2018,1
6,madhya pradesh,8025395,8681603403.446348,state,2018,1
7,rajasthan,7591690,8926293130.72684,state,2018,1
8,delhi,7122754,11211503806.91996,state,2018,1
9,tamil nadu,6726622,11261557697.516891,state,2018,1
10,maharashtra,22285740,36357057241.12254,state,2018,2
11,west bengal,18082446,18629183470.204285,state,2018,2
12,uttar pradesh,17710943,25720201695.701435,state,2018,2
13,karnataka,17116447,33515580081.29709,state,2018,2
14,andhra pradesh,12353918,22883914272.633617,state,2018,2
15,telangana,10764670,23017201517.652737,state,2018,2
16,madhya pradesh,10561412,15924081066.680984,state,2018,2
17,tamil nadu,9992128,20125844276.267662,state,2018,2
18,rajasthan,9973697,15559086175.759623,state,2018,2
19,delhi,9373723,17446299902.205147,state,2018,2
20,west bengal,53705416,41843934183.177635,state,2018,3
21,maharashtra,31538538,52260817733.24835,state,2018,3
22,odisha,30052155,23094515775.585762,state,2018,3
23,uttar pradesh,26515356,37012114369.23937,state,2018,3
24,karnataka,25980261,48225091755.80772,state,2018,3
25,andhra pradesh,25626061,35718044599.21416,state,2018,3
26,telangana,19332703,32030093209.72354,state,2018,3
27,delhi,18547048,27375846860.618515,state,2018,3
28,madhya pradesh,17126985,24149742204.673225,state,2018,3
29,tamil nadu,15774078,29330092241.18405,state,2018,3
30,maharashtra,46090223,79518937047.82959,state,2018,4
31,karnataka,44812071,73008386576.05942,state,2018,4
32,west bengal,36513548,40489619211.70402,state,2018,4
33,uttar pradesh,36100767,55096743575.91497,state,2018,4
34,andhra pradesh,30759548,51473779406.84041,state,2018,4
35,delhi,29187719,39722857618.706436,state,2018,4
36,telangana,28921154,49509088448.04927,state,2018,4
37,tamil nadu,22457444,43302073975.890976,state,2018,4
38,madhya pradesh,21397555,33905608072.964783,state,2018,4
39,odisha,21142798,23429869571.55922,state,2018,4
40,karnataka,86587609,117976382145.74966,state,2019,1
41,maharashtra,75079069,111420690920.33997,state,2019,1
42,telangana,65290702,95523262035.66321,state,2019,1
43,uttar pradesh,57324504,76524180134.0167,state,2019,1
44,andhra pradesh,57264522,83760595917.0792,state,2019,1
45,west bengal,47626388,50164672623.8785,state,2019,1
46,delhi,47007327,58469131789.49733,state,2019,1
47,rajasthan,43956040,61141158575.55252,state,2019,1
48,madhya pradesh,37301049,48070279522.042015,state,2019,1
49,odisha,34031942,35427127930.698456,state,2019,1
50,karnataka,115401604,163702024226.0841,state,2019,2
51,maharashtra,101149853,153294470088.05945,state,2019,2
52,telangana,89610379,155676443182.43457,state,2019,2
53,uttar pradesh,58883500,98917519370.67831,state,2019,2
54,delhi,57171512,81706816063.62862,state,2019,2
55,andhra pradesh,56409015,113634518758.22931,state,2019,2
56,rajasthan,50009286,89107313172.66756,state,2019,2
57,west bengal,47023535,57105691119.11844,state,2019,2
58,madhya pradesh,40846013,68334566380.56182,state,2019,2
59,tamil nadu,32171737,64207676025.75553,state,2019,2
60,karnataka,170733735,214536720438.18292,state,2019,3
61,maharashtra,148735581,199617506744.94272,state,2019,3
62,telangana,121495376,201930021130.42365,state,2019,3
63,andhra pradesh,76288614,139447944254.78943,state,2019,3
64,delhi,69537876,103196812046.45712,state,2019,3
65,uttar pradesh,68623959,111268137475.02844,state,2019,3
66,rajasthan,67303617,112468290031.92343,state,2019,3
67,west bengal,66444829,70540532616.82985,state,2019,3
68,madhya pradesh,53610411,77676321491.22867,state,2019,3
69,odisha,41422272,57304577359.217094,state,2019,3
70,karnataka,237796252,295047143447.2384,state,2019,4
71,maharashtra,201260620,272994428799.56488,state,2019,4
72,telangana,163572258,280746765547.7425,state,2019,4
73,andhra pradesh,107218103,200948315488.80518,state,2019,4
74,west bengal,96805838,88203610254.64601,state,2019,4
75,uttar pradesh,86905005,145538926507.3059,state,2019,4
76,rajasthan,85074242,159452410049.68317,state,2019,4
77,delhi,80744997,129024467424.89066,state,2019,4
