,Name,UserRegister,Type,Year,Quartile
0,maharashtra,6106994,state,2018,1
1,uttar pradesh,4694250,state,2018,1
2,karnataka,3717763,state,2018,1
3,andhra pradesh,3336450,state,2018,1
4,telangana,3315560,state,2018,1
5,rajasthan,3158202,state,2018,1
6,gujarat,2690048,state,2018,1
7,west bengal,2604789,state,2018,1
8,madhya pradesh,2553603,state,2018,1
9,bihar,2133804,state,2018,1
10,maharashtra,8222371,state,2018,2
11,uttar pradesh,6442554,state,2018,2
12,karnataka,5030665,state,2018,2
13,andhra pradesh,4402540,state,2018,2
14,telangana,4260115,state,2018,2
15,rajasthan,4212964,state,2018,2
16,west bengal,3833795,state,2018,2
17,gujarat,3565825,state,2018,2
18,madhya pradesh,3441662,state,2018,2
19,bihar,3005872,state,2018,2
20,maharashtra,10435033,state,2018,3
21,uttar pradesh,8096483,state,2018,3
22,karnataka,6372649,state,2018,3
23,andhra pradesh,5427617,state,2018,3
24,rajasthan,5175453,state,2018,3
25,telangana,5138501,state,2018,3
26,west bengal,4851740,state,2018,3
27,gujarat,4433183,state,2018,3
28,madhya pradesh,4309309,state,2018,3
29,tamil nadu,3900177,state,2018,3
30,maharashtra,13381602,state,2018,4
31,uttar pradesh,10341964,state,2018,4
32,karnataka,8315802,state,2018,4
33,andhra pradesh,6857409,state,2018,4
34,telangana,6529679,state,2018,4
35,rajasthan,6358738,state,2018,4
36,west bengal,6279278,state,2018,4
37,gujarat,5579040,state,2018,4
38,madhya pradesh,5365442,state,2018,4
39,tamil nadu,5199878,state,2018,4
40,maharashtra,16284451,state,2019,1
41,uttar pradesh,12458661,state,2019,1
42,karnataka,10266174,state,2019,1
43,andhra pradesh,8283019,state,2019,1
44,telangana,7963425,state,2019,1
45,rajasthan,7712204,state,2019,1
46,west bengal,7449425,state,2019,1
47,gujarat,6652536,state,2019,1
48,madhya pradesh,6414403,state,2019,1
49,tamil nadu,6296303,state,2019,1
50,maharashtra,18776975,state,2019,2
51,uttar pradesh,14316349,state,2019,2
52,karnataka,11968087,state,2019,2
53,andhra pradesh,9389003,state,2019,2
